id_match,id_home,id_away,id_stadium,date_time,attendance
1,1,2,1,2018-11-03 16:30:00,69454
2,3,4,3,2018-11-03 18:00:00,59470
3,5,6,5,2018-11-03 20:30:00,13126
4,7,8,7,2018-11-04 16:30:00,32804
5,9,10,9,2018-11-04 18:00:00,38592
6,11,12,11,2018-11-04 20:30:00,30800
7,2,4,2,2018-11-10 16:30:00,85623
8,3,1,3,2018-11-10 18:00:00,40087
9,6,8,6,2018-11-10 20:30:00,28975
10,7,5,7,2018-11-11 16:30:00,31047
11,10,12,10,2018-11-11 18:00:00,44144
12,11,9,11,2018-11-11 20:30:00,26789
13,4,1,4,2018-11-17 16:30:00,25639
14,2,3,2,2018-11-17 18:00:00,77548
15,8,5,8,2018-11-17 20:30:00,40065
16,6,7,6,2018-11-18 16:30:00,27895
17,12,9,12,2018-11-18 18:00:00,42369
18,10,11,10,2018-11-18 20:30:00,21085
19,1,6,1,2018-11-24 16:30:00,78502
20,4,11,4,2018-11-24 18:00:00,52104
21,5,10,5,2018-11-24 20:30:00,13126
22,8,3,8,2018-11-25 16:30:00,44987
23,9,7,9,2018-11-25 18:00:00,40071
24,12,2,12,2018-11-25 20:30:00,38565
